Line #   | Statement                                          | #failedTests(s) | #passedTests(s) | total_failed | Suspiciousness 
----------------------------------------------------------------------------------------------------------------------------------
134      | 	    alt_sep = DOWNWARD_RA;                        | 27              | 125             | 34           | 5.52           
77       | 	result = Own_Above_Threat() && (Cur_Vertical_Sep  | 34              | 437             | 34           | 2.65           
95       | 	result = !(Own_Above_Threat()) || ((Own_Above_Thr | 34              | 437             | 34           | 2.65           
105      | bool Own_Above_Threat()                            | 34              | 595             | 34           | 1.94           
107      |     return (Other_Tracked_Alt < Own_Tracked_Alt);  | 34              | 595             | 34           | 1.94           
133      | 	else if (need_downward_RA)                        | 34              | 713             | 34           | 1.62           
59       | int Inhibit_Biased_Climb ()                        | 34              | 850             | 34           | 1.36           
61       |     return (Climb_Inhibit ? Up_Separation + NOZCRO | 34              | 850             | 34           | 1.36           
64       | bool Non_Crossing_Biased_Climb()                   | 34              | 850             | 34           | 1.36           
70       |     upward_preferred = Inhibit_Biased_Climb() > Do | 34              | 850             | 34           | 1.36           
71       |     if (upward_preferred)                          | 34              | 850             | 34           | 1.36           
79       |     return result;                                 | 34              | 850             | 34           | 1.36           
82       | bool Non_Crossing_Biased_Descend()                 | 34              | 850             | 34           | 1.36           
88       |     upward_preferred = Inhibit_Biased_Climb() > Do | 34              | 850             | 34           | 1.36           
89       |     if (upward_preferred)                          | 34              | 850             | 34           | 1.36           
97       |     return result;                                 | 34              | 850             | 34           | 1.36           
124      | 	need_upward_RA = Non_Crossing_Biased_Climb() && O | 34              | 850             | 34           | 1.36           
125      | 	need_downward_RA = Non_Crossing_Biased_Descend()  | 34              | 850             | 34           | 1.36           
126      | 	if (need_upward_RA && need_downward_RA)           | 34              | 850             | 34           | 1.36           
131      | 	else if (need_upward_RA)                          | 34              | 850             | 34           | 1.36           
137      |     }                                              | 34              | 850             | 34           | 1.36           
100      | bool Own_Below_Threat()                            | 27              | 538             | 34           | 1.34           
102      |     return (Own_Tracked_Alt < Other_Tracked_Alt);  | 27              | 538             | 34           | 1.34           
54       | int ALIM ()                                        | 27              | 549             | 34           | 1.31           
56       |  return Positive_RA_Alt_Thresh[Alt_Layer_Value];   | 27              | 549             | 34           | 1.31           
46       | void initialize()                                  | 34              | 1542            | 34           | 0.75           
48       |     Positive_RA_Alt_Thresh[0] = 400;               | 34              | 1542            | 34           | 0.75           
49       |     Positive_RA_Alt_Thresh[1] = 500;               | 34              | 1542            | 34           | 0.75           
50       |     Positive_RA_Alt_Thresh[2] = 640;               | 34              | 1542            | 34           | 0.75           
51       |     Positive_RA_Alt_Thresh[3] = 740;               | 34              | 1542            | 34           | 0.75           
52       | }                                                  | 34              | 1542            | 34           | 0.75           
110      | int alt_sep_test()                                 | 34              | 1542            | 34           | 0.75           
116      |     enabled = High_Confidence && (Own_Tracked_Alt_ | 34              | 1542            | 34           | 0.75           
117      |     tcas_equipped = Other_Capability == TCAS_TA;   | 34              | 1542            | 34           | 0.75           
118      |     intent_not_known = Two_of_Three_Reports_Valid  | 34              | 1542            | 34           | 0.75           
120      |     alt_sep = UNRESOLVED;                          | 34              | 1542            | 34           | 0.75           
122      |     if (enabled && ((tcas_equipped && intent_not_k | 34              | 1542            | 34           | 0.75           
139      |     return alt_sep;                                | 34              | 1542            | 34           | 0.75           
155      |     initialize();                                  | 34              | 1542            | 34           | 0.75           
156      |     Cur_Vertical_Sep = atoi(argv[1]);              | 34              | 1542            | 34           | 0.75           
157      |     High_Confidence = atoi(argv[2]);               | 34              | 1542            | 34           | 0.75           
158      |     Two_of_Three_Reports_Valid = atoi(argv[3]);    | 34              | 1542            | 34           | 0.75           
159      |     Own_Tracked_Alt = atoi(argv[4]);               | 34              | 1542            | 34           | 0.75           
160      |     Own_Tracked_Alt_Rate = atoi(argv[5]);          | 34              | 1542            | 34           | 0.75           
161      |     Other_Tracked_Alt = atoi(argv[6]);             | 34              | 1542            | 34           | 0.75           
162      |     Alt_Layer_Value = atoi(argv[7]);               | 34              | 1542            | 34           | 0.75           
163      |     Up_Separation = atoi(argv[8]);                 | 34              | 1542            | 34           | 0.75           
164      |     Down_Separation = atoi(argv[9]);               | 34              | 1542            | 34           | 0.75           
165      |     Other_RAC = atoi(argv[10]);                    | 34              | 1542            | 34           | 0.75           
166      |     Other_Capability = atoi(argv[11]);             | 34              | 1542            | 34           | 0.75           
167      |     Climb_Inhibit = atoi(argv[12]);                | 34              | 1542            | 34           | 0.75           
169      |     fprintf(stdout, "%d\n", alt_sep_test());       | 34              | 1542            | 34           | 0.75           
170      |     exit(0);                                       | 34              | 1542            | 34           | 0.75           
142      | main(argc, argv)                                   | 34              | 1573            | 34           | 0.73           
146      |     if(argc < 13)                                  | 34              | 1573            | 34           | 0.73           
136      | 	    alt_sep = UNRESOLVED;                         | 7               | 588             | 34           | 0.08           
73       | 	result = !(Own_Below_Threat()) || ((Own_Below_Thr | 0               | 413             | 34           | 0.0            
74       |     }                                              | 0               | 413             | 34           | 0.0            
91       | 	result = Own_Below_Threat() && (Cur_Vertical_Sep  | 0               | 413             | 34           | 0.0            
92       |     }                                              | 0               | 413             | 34           | 0.0            
132      | 	    alt_sep = UPWARD_RA;                          | 0               | 137             | 34           | 0.0            
148      | 	fprintf(stdout, "Error: Command line arguments ar | 0               | 31              | 34           | 0.0            
149      | 	fprintf(stdout, "Cur_Vertical_Sep, High_Confidenc | 0               | 31              | 34           | 0.0            
150      | 	fprintf(stdout, "Own_Tracked_Alt, Own_Tracked_Alt | 0               | 31              | 34           | 0.0            
151      | 	fprintf(stdout, "Alt_Layer_Value, Up_Separation,  | 0               | 31              | 34           | 0.0            
152      | 	fprintf(stdout, "Other_RAC, Other_Capability, Cli | 0               | 31              | 34           | 0.0            
153      | 	exit(1);                                          | 0               | 31              | 34           | 0.0            
