331939838,1,3,-2.3052063,3.6068995,7.7047777
331939848,1,3,-2.3878345,3.5637891,7.68442
331939858,1,3,-2.4321423,3.5218763,7.599397
331939868,1,3,-2.4333398,3.556604,7.8616514
331939878,1,3,-2.4513025,3.4524207,7.6688523
331939888,1,3,-2.5890162,3.4655933,7.9119473
331939897,1,3,-2.75068,3.4284704,7.8616514
331939907,1,3,-2.7422974,3.5122962,7.8077636
331939917,1,3,-2.8129504,3.5829492,7.883207
331939927,1,3,-2.933899,3.5182836,8.024513
331939937,1,3,-2.9566517,3.2308815,8.213719
331939947,1,3,-3.002157,3.2081287,8.178991
331939957,1,3,-2.9877868,3.3602123,8.193362
331939967,1,3,-3.075205,3.4200878,8.297545
331939976,1,3,-2.6656568,3.5961218,7.8867993
331939986,1,3,-2.9722192,3.7170703,8.153844
331939996,1,3,-2.9051588,3.6164794,7.8640466
331940006,1,3,-2.8285182,3.5793567,7.7670484
331940016,1,3,-3.0081446,3.6380346,7.721543
331940026,1,3,-2.9985645,3.617677,7.667655
331940036,1,3,-3.0931678,3.4332604,7.550299
331940046,1,3,-2.618954,3.5362463,7.723938
331940055,1,3,-2.626139,3.3458424,7.806566
331940065,1,3,-2.9350965,3.239264,7.892787
331940075,1,3,-5.6462584,2.2261705,8.438851
331940085,1,3,-2.518363,3.4679883,7.289242
331940095,1,3,-1.9950513,3.7577856,8.321495
331940105,1,3,-2.391427,3.4009278,8.243657
331940115,1,3,-2.9123437,3.197351,7.8891945
331940125,1,3,-2.9255164,3.4332604,7.7909985
331940134,1,3,-2.7027795,3.7242553,7.789801
331940144,1,3,-3.0201197,3.6536024,7.891589
331940154,1,3,-3.0728102,3.556604,7.9622426
331940164,1,3,-2.9482691,3.3554223,8.1071415
331940174,1,3,-2.9698243,3.2380664,8.165819
331940184,1,3,-3.321892,3.0105395,8.171806
331940194,1,3,-5.965994,2.5267456,7.180269
331940204,1,3,-2.8740234,3.5937269,7.8939843
331940213,1,3,-1.0095007,3.8811293,8.8879175
331940223,1,3,-1.5447876,3.3039293,8.799302
331940233,1,3,-2.3159838,3.2560291,8.29994
331940243,1,3,-2.4489074,3.6799476,8.152646
331940253,1,3,-2.894381,3.8452039,7.850874
331940263,1,3,-3.38536,3.6332445,7.728728
331940273,1,3,-3.4476306,3.234474,7.9275146
331940283,1,3,-3.1003528,2.9255164,8.234077
331940292,1,3,-2.8345056,2.842888,8.231682
331940302,1,3,-3.3123121,2.767445,7.9909825
331940312,1,3,-3.333867,3.2811768,7.306007
331940322,1,3,-3.4943335,4.0751257,7.411388
331940332,1,3,-3.8152661,4.362528,7.260502
331940342,1,3,-4.411626,4.9612827,7.0748878
331940352,1,3,-4.8966174,5.4319043,6.340814
331940362,1,3,-5.0918117,5.4462743,6.1767554
331940371,1,3,-5.422324,4.8714695,5.6151233
331940381,1,3,-5.5073476,4.1709266,5.4331017
331940391,1,3,-5.1720448,3.070415,4.822372
331940401,1,3,-4.7696815,1.9962487,4.59245
331940411,1,3,-4.3960586,0.48139894,4.5397596
331940421,1,3,-4.0439906,-0.86699706,4.2978625
331940431,1,3,-3.2955468,-1.6669335,3.258424
331940441,1,3,-3.0033545,-2.7470875,3.4560132
331940450,1,3,-2.2393432,-4.0811133,3.1734009
331940460,1,3,-1.7603394,-5.5193224,3.8272412
331940470,1,3,-0.83945435,-7.588619,4.127816
331940480,1,3,0.21674927,-9.286688,4.4882665
331940490,1,3,1.3340259,-10.784773,4.118236
331940500,1,3,1.9830762,-11.899654,3.1434631
331940510,1,3,2.198628,-12.776232,1.9375708
331940520,1,3,2.2022204,-13.53186,1.0154883
331940529,1,3,1.9722986,-14.031222,0.7723938
331940539,1,3,1.9699036,-14.752123,2.503993
331940549,1,3,1.4513818,-15.183227,4.0463853
331940559,1,3,1.5459851,-15.002402,5.9863515
331940569,1,3,1.9830762,-13.622871,7.061715
331940579,1,3,1.8800904,-11.888877,5.8498354
331940589,1,3,1.421444,-11.173964,4.3385777
331940599,1,3,1.2621753,-10.528506,3.6631823
331940608,1,3,1.4765296,-9.9153805,1.9243982
331940618,1,3,2.2321582,-9.53098,0.4646338
331940628,1,3,2.5566833,-9.366921,-0.53049684
331940638,1,3,2.3052063,-9.489067,-1.1460168
331940648,1,3,2.4045997,-9.129814,-1.6813037
331940658,1,3,2.2944288,-8.6843405,-2.0896544
331940668,1,3,1.6369958,-8.5011215,-2.3950195
331940677,1,3,1.0801538,-8.420889,-1.9878662
331940687,1,3,0.49097902,-8.447234,-1.5184424
331940697,1,3,-0.067060545,-9.336984,-0.8322693
331940707,1,3,-0.12933105,-9.358539,0.34488282
331940717,1,3,-0.17363891,-9.3381815,1.2657678
331940727,1,3,-0.36404297,-9.414822,0.55324954
331940737,1,3,-0.88855225,-9.912986,0.45026368
331940747,1,3,-1.0933264,-10.788365,-0.12693603
331940756,1,3,-0.95321774,-10.903326,-0.79035646
331940766,1,3,-0.99872315,-10.875784,-1.900448
331940776,1,3,-1.1615845,-10.17045,-1.6441809
331940786,1,3,-1.2585827,-10.224339,-0.9316626
331940796,1,3,-1.6034656,-10.372829,0.45265868
331940806,1,3,-0.9807605,-9.871073,0.5005591
331940816,1,3,-0.2586621,-9.251961,-0.14130615
331940826,1,3,-0.13891113,-9.186097,-1.7208215
331940835,1,3,-0.30057496,-8.964558,-2.7782226
331940845,1,3,-0.6646179,-9.105865,-3.5578015
331940855,1,3,-0.9460327,-8.928633,-4.399651
331940865,1,3,-0.91849,-8.005353,-3.7649708
331940875,1,3,0.23710693,-7.846084,-1.8214123
331940885,1,3,-1.0885364,-9.277108,-3.0285022
331940895,1,3,-0.7592212,-9.266331,-1.4837146
331940905,1,3,-0.17962646,-9.126222,-1.4034815
331940914,1,3,-0.6011499,-9.0148535,-1.1328442
331940924,1,3,-0.4921765,-8.897497,-1.0095007
331940934,1,3,-0.56881714,-8.7897215,-0.6251001
331940944,1,3,-0.25387207,-8.941806,-1.1795471
331940954,1,3,0.07185058,-9.093889,-1.6657361
331940964,1,3,0.6658154,-9.400452,-2.1674926
331940974,1,3,1.165177,-9.884246,-3.1051428
331940984,1,3,1.3663586,-10.532099,-3.6068995
331940993,1,3,1.404679,-10.142908,-4.204457
331941003,1,3,1.3819263,-9.1130495,-4.93374
331941013,1,3,0.86579955,-8.793314,-5.647456
331941023,1,3,0.8190967,-9.24238,-6.5108604
331941033,1,3,0.5376819,-10.917697,-5.649851
331941043,1,3,1.1687695,-12.24334,-5.8151073
331941053,1,3,1.1256592,-13.457615,-5.5121374
331941063,1,3,0.85502195,-14.523398,-5.771997
331941072,1,3,0.5376819,-15.011982,-6.1839404
331941082,1,3,-0.2802173,-15.487393,-6.1204724
331941092,1,3,-1.165177,-15.839461,-5.6905665
331941102,1,3,-1.3795313,-16.221468,-5.2355127
331941112,1,3,-1.3280383,-16.308886,-4.3924656
331941122,1,3,-1.2717553,-16.265776,-3.309917
331941132,1,3,-1.4968872,-15.799944,-2.2704785
331941142,1,3,-1.8190173,-15.077846,-1.6621436
331941151,1,3,-2.3087988,-14.0934925,-1.1172767
331941161,1,3,-2.6836195,-13.117522,-0.9556128
331941171,1,3,-2.75068,-12.058924,-1.104104
331941181,1,3,-2.7614574,-11.456576,-1.4226416
331941203,1,3,-2.7710376,-10.9703865,-1.6573535
331941213,1,3,-3.0955627,-10.712922,-1.8046472
331941223,1,3,-3.38536,-10.635084,-2.039359
331941233,1,3,-3.5578015,-10.842254,-2.14953
331941243,1,3,-3.7733533,-11.338022,-2.0130138
331941253,1,3,-3.8954992,-11.805051,-1.5867004
331941263,1,3,-3.9158568,-12.341536,-0.93765014
331941272,1,3,-4.0559654,-12.463681,-0.34727782
331941282,1,3,-4.4104285,-12.687616,0.3927832
331941292,1,3,-5.0331335,-12.9187355,0.8322693
331941302,1,3,-5.812712,-13.442047,1.5148499
331941312,1,3,-6.730005,-14.4874735,1.9675086
331941322,1,3,-7.4688683,-15.813116,2.450105
331941332,1,3,-8.220904,-16.569942,3.1446607
331941342,1,3,-8.57896,-16.413069,3.803291
331941351,1,3,-8.404123,-15.174844,3.7517982
331941361,1,3,-7.838899,-13.616883,3.8248463
331941371,1,3,-6.8868785,-12.100836,3.6092944
331941381,1,3,-5.710924,-10.693762,3.4512231
331941391,1,3,-4.86189,-9.19448,3.3949401
331941401,1,3,-4.333788,-7.782616,3.270399
331941411,1,3,-3.8404138,-6.222261,2.8153455
331941421,1,3,-3.2955468,-4.8032117,1.9950513
331941430,1,3,-2.811753,-3.5410364,1.2466077
331941440,1,3,-2.3363416,-2.6512866,0.4754114
331941450,1,3,-1.7387842,-1.8860779,-0.36524048
331941460,1,3,-1.1603869,-1.5711328,-0.78915894
331941470,1,3,-0.6490503,-1.2573853,-0.83346677
331941480,1,3,-0.3676355,-1.0154883,-0.64186525
331941490,1,3,0.031135254,-0.8981323,-0.65623534
331941500,1,3,0.5029541,-0.556842,-0.6095325
331941509,1,3,0.70533323,0.05867798,-0.44427612
331941519,1,3,0.96160036,0.7244934,-0.60833496
331941529,1,3,1.2358301,1.4453943,-1.1100916
331941539,1,3,1.3903089,1.9471508,-1.729204
331941549,1,3,1.5914905,2.2525158,-2.3076012
331941559,1,3,1.8046472,2.0417542,-2.4752526
331941569,1,3,2.017804,1.4908997,-2.503993
331941579,1,3,2.1052222,0.54726195,-2.3926246
331941588,1,3,2.0525317,-0.41074586,-2.0501368
331941598,1,3,1.6765137,-1.5735278,-1.8094373
331941608,1,3,1.3136683,-2.8440857,-1.6597486
331941618,1,3,0.84065187,-4.1864944,-1.4693445
331941628,1,3,0.429906,-5.1756372,-1.2370276
331941638,1,3,0.18561402,-6.324049,-1.3927039
331941648,1,3,0.017962646,-7.03058,-1.8046472
331941658,1,3,0.17603393,-7.7909985,-2.1040246
331941667,1,3,0.05269043,-8.714278,-2.6153612
331941677,1,3,-0.17124389,-9.774075,-3.3111145
331941687,1,3,-0.62390256,-11.109298,-4.2834926
